symbol,name,price,change,change_percentage,market_value(100M),industry,date
2330,台積電,547.0,-13.0,-2.32,141839.0,半導體業,2021/05/13
2317,鴻海,103.0,1.0,0.98,14279.0,其他電子業,2021/05/13
2454,聯發科,873.0,-15.0,-1.69,13883.0,半導體業,2021/05/13
6505,台塑化,95.0,-2.7,-2.76,9050.0,油電燃氣業,2021/05/13
2412,中華電,111.0,-1.5,-1.33,8611.0,通信網路業,2021/05/13
2881,富邦金,68.6,-1.4,-2.0,7020.0,金控業,2021/05/13
2308,台達電,264.5,-0.5,-0.19,6871.0,電子零組件業,2021/05/13
2882,國泰金,51.1,-1.2,-2.29,6729.0,金控業,2021/05/13
1303,南亞,79.0,-1.8,-2.23,6265.0,塑膠工業,2021/05/13
1301,台塑,94.3,-1.4,-1.46,6003.0,塑膠工業,2021/05/13
2303,聯電,47.55,1.2,2.59,5907.0,半導體業,2021/05/13
2002,中鋼,36.6,-1.75,-4.56,5759.0,鋼鐵工業,2021/05/13
1326,台化,81.5,-2.1,-2.51,4777.0,塑膠工業,2021/05/13
3711,日月光投控,100.0,3.0,3.09,4338.0,半導體業,2021/05/13
2891,中信金,22.05,-0.3,-1.34,4299.0,金控業,2021/05/13
2886,兆豐金,31.4,0.05,0.16,4270.0,金控業,2021/05/13
1216,統一,72.7,0.1,0.14,4131.0,食品工業,2021/05/13
2603,長榮,77.5,-8.6,-9.99,4085.0,航運業,2021/05/13
3008,大立光,2900.0,90.0,3.2,3890.0,光電業,2021/05/13
3045,台灣大,97.3,-1.1,-1.12,3415.0,通信網路業,2021/05/13
2382,廣達,88.1,0.2,0.23,3403.0,電腦及週邊設備業,2021/05/13
2884,玉山金,25.35,-0.05,-0.2,3186.0,金控業,2021/05/13
6488,環球晶,689.0,39.0,6.0,3013.0,半導體業,2021/05/13
3034,聯詠,479.0,-12.5,-2.54,2915.0,半導體業,2021/05/13
2885,元大金,23.9,-0.6,-2.45,2901.0,金控業,2021/05/13
1101,台泥,49.2,-0.4,-0.81,2901.0,水泥工業,2021/05/13
2207,和泰車,529.0,-13.0,-2.4,2889.0,汽車工業,2021/05/13
2357,華碩,379.5,18.0,4.98,2819.0,電腦及週邊設備業,2021/05/13
2892,第一金,21.45,-0.05,-0.23,2753.0,金控業,2021/05/13
2912,統一超,264.5,4.0,1.54,2750.0,貿易百貨業,2021/05/13
5880,合庫金,20.4,-0.15,-0.73,2720.0,金控業,2021/05/13
5871,中租-KY,186.0,-2.0,-1.06,2569.0,其他業,2021/05/13
2609,陽明,79.2,-8.7,-9.9,2639.0,航運業,2021/05/13
6415,矽力-KY,2660.0,5.0,0.19,2475.0,半導體業,2021/05/13
2395,研華,312.0,-6.5,-2.04,2407.0,電腦及週邊設備業,2021/05/13
2408,南亞科,74.3,0.9,1.23,2301.0,半導體業,2021/05/13
2379,瑞昱,450.5,14.5,3.33,2301.0,半導體業,2021/05/13
2880,華南金,17.85,-0.1,-0.56,2295.0,金控業,2021/05/13
2409,友達,21.8,-0.2,-0.91,2098.0,光電業,2021/05/13
3481,群創,21.0,-0.15,-0.71,2039.0,光電業,2021/05/13
4904,遠傳,63.3,-0.7,-1.09,2063.0,通信網路業,2021/05/13
2327,國巨,409.5,-13.5,-3.19,2043.0,電子零組件業,2021/05/13
4938,和碩,70.1,-1.0,-1.41,1867.0,電腦及週邊設備業,2021/05/13
5876,上海商銀,41.2,-0.3,-0.72,1846.0,銀行業,2021/05/13
8046,南電,283.5,15.0,5.59,1832.0,電子零組件業,2021/05/13
1590,亞德客-KY,960.0,12.0,1.27,1815.0,電機機械,2021/05/13
2883,開發金,12.1,-0.3,-2.42,1812.0,金控業,2021/05/13
5347,世界,110.0,8.5,8.37,1803.0,半導體業,2021/05/13
2615,萬海,80.1,-8.8,-9.9,1777.0,航運業,2021/05/13
2801,彰銀,16.65,-0.15,-0.89,1729.0,銀行業,2021/05/13
9910,豐泰,190.5,-5.5,-2.81,1680.0,其他業,2021/05/13
1102,亞泥,47.95,-0.6,-1.24,1615.0,水泥工業,2021/05/13
1402,遠東新,30.0,-0.65,-2.12,1606.0,紡織纖維,2021/05/13
2633,台灣高鐵,28.3,-0.35,-1.22,1593.0,航運業,2021/05/13
1476,儒鴻,578.0,-22.0,-3.67,1586.0,紡織纖維,2021/05/13
2887,台新金,14.05,-0.25,-1.75,1533.0,金控業,2021/05/13
8454,富邦媒,1090.0,99.0,9.99,1527.0,貿易百貨業,2021/05/13
2345,智邦,269.5,5.5,2.08,1505.0,通信網路業,2021/05/13
2890,永豐金,13.0,-0.05,-0.38,1467.0,金控業,2021/05/13
6669,緯穎,823.0,-29.0,-3.4,1439.0,電腦及週邊設備業,2021/05/13
2377,微星,170.0,2.0,1.19,1436.0,電腦及週邊設備業,2021/05/13
2301,光寶科,60.9,-0.3,-0.49,1432.0,電腦及週邊設備業,2021/05/13
3037,欣興,94.6,3.4,3.73,1423.0,電子零組件業,2021/05/13
2105,正新,43.9,-1.1,-2.44,1423.0,橡膠工業,2021/05/13
3105,穩懋,322.5,-6.0,-1.83,1368.0,半導體業,2021/05/13
2474,可成,175.0,-2.5,-1.41,1333.0,其他電子業,2021/05/13
2888,新光金,9.27,-0.13,-1.38,1207.0,金控業,2021/05/13
9921,巨大,315.0,15.0,5.0,1181.0,其他業,2021/05/13
2344,華邦電,28.85,0.6,2.12,1148.0,半導體業,2021/05/13
2823,中壽,23.6,-0.4,-1.67,1117.0,保險業,2021/05/13
8464,億豐,376.0,7.5,2.04,1102.0,其他業,2021/05/13
2049,上銀,320.0,0.0,0.0,1059.0,電機機械,2021/05/13
4966,譜瑞-KY,1300.0,-15.0,-1.14,1051.0,半導體業,2021/05/13
2324,仁寶,22.95,0.6,2.68,1011.0,電腦及週邊設備業,2021/05/13
6409,旭隼,1075.0,-115.0,-9.66,940.0,其他電子業,2021/05/13
2347,聯強,56.2,-0.1,-0.18,937.0,電子通路業,2021/05/13
2492,華新科,191.5,1.5,0.79,930.0,電子零組件業,2021/05/13
9914,美利達,310.0,21.0,7.27,927.0,其他業,2021/05/13
1802,台玻,31.85,-3.5,-9.9,926.0,玻璃陶瓷,2021/05/13
2353,宏碁,29.9,-1.55,-4.93,911.0,電腦及週邊設備業,2021/05/13
9904,寶成,30.7,-0.15,-0.49,905.0,其他業,2021/05/13
5483,中美晶,152.0,-3.0,-1.94,891.0,半導體業,2021/05/13
2356,英業達,24.8,-0.75,-2.94,890.0,電腦及週邊設備業,2021/05/13
8299,群聯,447.0,-3.5,-0.78,881.0,半導體業,2021/05/13
4958,臻鼎-KY,91.8,4.8,5.52,869.0,電子零組件業,2021/05/13
2354,鴻準,61.2,1.4,2.34,866.0,其他電子業,2021/05/13
3231,緯創,29.7,-0.3,-1.0,862.0,電腦及週邊設備業,2021/05/13
4743,合一,218.0,-3.5,-1.58,830.0,生技醫療業,2021/05/13
2610,華航,15.3,0.5,3.38,829.0,航運業,2021/05/13
1605,華新,23.4,-2.45,-9.48,803.0,電器電纜,2021/05/13
3702,大聯大,47.35,-0.15,-0.32,795.0,電子通路業,2021/05/13
2227,裕日車,257.0,-2.0,-0.77,771.0,汽車工業,2021/05/13
6547,高端疫苗,363.0,33.0,10.0,771.0,生技醫療業,2021/05/13
6239,力成,97.1,1.7,1.78,757.0,半導體業,2021/05/13
2360,致茂,179.5,13.5,8.13,757.0,其他電子業,2021/05/13
9945,潤泰新,49.85,-0.35,-0.7,750.0,其他業,2021/05/13
2618,長榮航,14.7,-0.55,-3.61,739.0,航運業,2021/05/13
